"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.228421409,      -5.227408015,      -5.957675354,      -5.163811187,      -4.621255409
          0,           0,           1,      -5.069123991,       -4.83920125,      -5.236044046,      -4.968958046,      -4.417278955
          0,           0,           2,       -4.89052993,      -4.672003678,      -4.891702638,      -4.758804748,      -4.258218058
          0,           0,           3,      -4.809361198,      -4.629621845,       -4.70860861,      -4.636434407,       -4.19614694
          0,           0,           4,      -4.710008184,      -4.555159527,      -4.614952031,      -4.539373347,       -4.10441355
          0,           0,           5,      -4.645244313,      -4.484898156,      -4.565929101,      -4.446082211,       -4.03964117
          0,           0,           6,      -4.630337097,      -4.474564019,      -4.543876303,      -4.371842716,      -4.028159006
          0,           0,           7,      -4.624107326,      -4.485898341,      -4.536760078,      -4.326045857,      -4.027552779
          0,           0,           8,      -4.609073701,      -4.483543328,      -4.528568333,      -4.300673115,      -4.015502072
          0,           0,           9,      -4.589244305,      -4.468158065,      -4.516153521,      -4.288133123,      -3.995423198
          0,           0,          10,      -4.576978939,       -4.45714073,      -4.505995289,      -4.286237263,      -3.982501877
          0,           0,          11,      -4.583168389,      -4.465397434,      -4.501635527,       -4.29520912,      -3.990213773
          0,           0,          12,      -4.606396259,      -4.498166175,      -4.502633122,      -4.314841608,      -4.018332263
          0,           0,          13,      -4.630994114,      -4.546983231,      -4.507921206,      -4.343278455,      -4.049917708
          0,           0,          14,      -4.638939832,      -4.588359957,      -4.516935876,      -4.376374031,      -4.062177605
          0,           0,          15,      -4.629610536,      -4.600713179,      -4.529662748,      -4.408204819,      -4.051658552
          0,           0,          16,      -4.617484646,      -4.590326379,      -4.546663036,      -4.433719561,      -4.035545693
          0,           0,          17,      -4.614344129,      -4.578602818,       -4.56876725,      -4.451935412,      -4.028779564
          0,           0,          18,      -4.623825265,      -4.578309424,      -4.596354129,      -4.466023695,      -4.036389403
          0,           0,          19,       -4.64472773,      -4.592197269,      -4.628820274,      -4.480322856,      -4.057689743
          0,           0,          20,      -4.674205752,      -4.618674186,      -4.664620593,      -4.497770355,      -4.090066204
          0,           0,          21,        -4.7092552,      -4.655023484,      -4.701821652,      -4.519460741,      -4.130472147
          0,           0,          22,      -4.747072915,      -4.698282015,      -4.738809325,      -4.545292884,      -4.175543197
          0,           0,          23,       -4.78494906,      -4.744922615,      -4.774713417,      -4.574719364,      -4.221264351
          0,           0,          24,      -4.820351645,      -4.790440632,      -4.809441985,      -4.607161973,      -4.263150857
          0,           0,          25,      -4.851374787,      -4.829748652,      -4.843368563,      -4.641989421,      -4.297415737
          0,           0,          26,      -4.877252351,      -4.858950648,       -4.87697741,      -4.678578481,      -4.322571986
          0,           0,          27,      -4.898550748,      -4.877488356,      -4.910623712,      -4.716138984,       -4.34006759
          0,           0,          28,      -4.916828182,      -4.888431345,      -4.944442104,      -4.753788844,      -4.353241201
          0,           0,          29,      -4.934026637,      -4.896523813,      -4.978440975,      -4.790674703,      -4.365656553
          0,           0,          30,      -4.951928066,      -4.906016209,      -5.012580732,      -4.826101606,      -4.380028775
          0,           0,          31,      -4.971848306,      -4.919710571,      -5.046860045,      -4.859669229,      -4.397963658
          0,           0,          32,      -4.994567052,      -4.939013225,      -5.081364736,      -4.891414806,      -4.420148835
          0,           0,          33,      -5.020360603,      -4.964315786,      -5.116181678,      -4.921804667,      -4.446612061
          0,           0,          34,      -5.049076107,      -4.995342465,      -5.151387791,      -4.951673961,      -4.476927868
          0,           0,          35,      -5.080172983,      -5.031374923,      -5.186999984,      -4.982015997,      -4.510315087
          0,           0,          36,      -5.112817196,      -5.071403912,      -5.222947821,      -5.013765533,      -4.545738269
          0,           0,          37,      -5.146022413,      -5.114233659,      -5.259021428,      -5.047746281,      -4.582030366
          0,           0,          38,      -5.178828621,       -5.15858387,      -5.294926168,      -5.084514359,      -4.618046658
          0,           0,          39,      -5.210506608,      -5.203221489,      -5.330368729,      -5.124349353,      -4.652855196
          0,           0,          40,      -5.240704306,      -5.247109131,      -5.365089599,      -5.167196386,      -4.685895656
          0,           0,          41,      -5.269485007,      -5.289542287,      -5.398953152,      -5.212645994,       -4.71704782
          0,           0,          42,      -5.297228069,       -5.33020935,      -5.432038831,      -5.260000398,      -4.746564486
          0,           0,          43,      -5.324461798,      -5.369164852,      -5.464611107,      -5.308293996,      -4.774920266
          0,           0,          44,      -5.351696087,      -5.406721723,      -5.497053467,      -5.356378109,      -4.802639094
          0,           0,          45,      -5.379308091,      -5.443305114,      -5.529783472,      -5.403065337,      -4.830163115
          0,           0,          46,      -5.407507627,      -5.479329863,      -5.563160287,      -5.447310995,      -4.857804632
          0,           0,          47,      -5.436338804,      -5.515108012,       -5.59742667,      -5.488415492,      -4.885733527
          0,           0,          48,      -5.465716529,      -5.550817365,      -5.632695352,      -5.526171727,      -4.914008546
          0,           0,          49,      -5.495467563,      -5.586503813,      -5.668934138,      -5.560881096,      -4.942610358
          0,           0,          50,       -5.52536872,      -5.622090202,        -5.7059774,      -5.593245141,      -4.971471663
          0,           0,          51,       -5.55518901,      -5.657413497,      -5.743545143,      -5.624166751,      -5.000507628
          0,           0,          52,       -5.58472711,      -5.692258396,      -5.781253685,      -5.654547085,      -5.029637014
          0,           0,          53,      -5.613847466,      -5.726392114,      -5.818651876,      -5.685139738,      -5.058801577
          0,           0,          54,      -5.642498594,      -5.759603233,      -5.855252535,      -5.716465964,      -5.087969681
          0,           0,          55,      -5.670718036,      -5.791726451,      -5.890566373,      -5.748797713,      -5.117134099
          0,           0,          56,      -5.698624461,      -5.822665728,      -5.924153316,      -5.782165136,      -5.146310686
          0,           0,          57,      -5.726397657,      -5.852397016,      -5.955696146,      -5.816376127,      -5.175532537
          0,           0,          58,      -5.754246984,      -5.880962173,       -5.98506233,      -5.851051786,      -5.204838521
          0,           0,          59,      -5.782370357,      -5.908458623,      -6.012336552,      -5.885680692,      -5.234255222
          0,           0,          60,       -5.81092093,       -5.93502964,      -6.037818336,      -5.919701087,      -5.263783495
          0,           0,          61,      -5.839986994,      -5.960855079,      -6.061968254,      -5.952548068,      -5.293394578
          0,           0,          62,      -5.869592193,      -5.986141496,      -6.085322994,      -5.983740271,      -5.323045564
          0,           0,          63,      -5.899689742,      -6.011116184,      -6.108435931,      -6.012948393,       -5.35268055
          0,           0,          64,      -5.930167828,      -6.036013392,      -6.131805072,      -6.040046662,      -5.382236472
          0,           0,          65,      -5.960861957,      -6.061062976,      -6.155831056,      -6.065123672,      -5.411651744
          0,           0,          66,      -5.991579136,      -6.086478654,      -6.180813117,      -6.088454325,      -5.440880986
          0,           0,          67,      -6.022117175,      -6.112442751,      -6.206922814,      -6.110442606,      -5.469898613
          0,           0,          68,      -6.052282016,      -6.139096451,      -6.234222259,      -6.131552539,      -5.498694627
          0,           0,          69,      -6.081913119,      -6.166532011,      -6.262681404,      -6.152244607,      -5.527278098
          0,           0,          70,       -6.11091208,      -6.194790445,      -6.292194524,      -6.172929043,      -5.555686134
          0,           0,          71,      -6.139249208,      -6.223864959,      -6.322595843,      -6.193939827,      -5.583971557
          0,           0,          72,      -6.166973352,      -6.253708576,      -6.353678506,      -6.215528757,       -5.61220302
          0,           0,          73,      -6.194205795,      -6.284239159,      -6.385215306,       -6.23786575,      -5.640461046
          0,           0,          74,      -6.221118699,      -6.315349419,      -6.416977068,      -6.261047421,      -5.668824267
          0,           0,          75,      -6.247917062,      -6.346913664,      -6.448749797,      -6.285110967,      -5.697366449
          0,           0,          76,        -6.2748171,       -6.37880108,      -6.480348924,       -6.31004676,      -5.726152433
          0,           0,          77,        -6.3020141,      -6.410883898,      -6.511629418,      -6.335810669,      -5.755222073
          0,           0,          78,       -6.32966534,      -6.443043879,      -6.542497383,      -6.362338676,      -5.784587933
          0,           0,          79,      -6.357878553,      -6.475174702,      -6.572905318,      -6.389551033,      -5.814234555
          0,           0,          80,      -6.386698246,      -6.507193158,      -6.602847565,      -6.417357421,      -5.844111658
          0,           0,          81,      -6.416113811,      -6.539038157,      -6.632357885,      -6.445665979,       -5.87415042
          0,           0,          82,      -6.446059111,      -6.570674482,      -6.661496317,       -6.47438403,      -5.904264912
          0,           0,          83,      -6.476417055,      -6.602091617,      -6.690336769,       -6.50342628,       -5.93435822
          0,           0,          84,      -6.507039754,      -6.633297728,      -6.718955451,      -6.532712562,      -5.964343797
          0,           0,          85,      -6.537755764,      -6.664311426,      -6.747424954,      -6.562172782,      -5.994147697
          0,           0,          86,       -6.56838404,      -6.695150673,      -6.775806637,      -6.591749788,      -6.023713177
          0,           0,          87,      -6.598742224,      -6.725817524,      -6.804146727,      -6.621394944,      -6.052995379
          0,           0,          88,      -6.628665277,      -6.756283556,      -6.832471059,      -6.651067468,      -6.081964436
          0,           0,          89,      -6.658026781,      -6.786479955,      -6.860791035,      -6.680731323,      -6.110612212
          0,           0,          90,      -6.686745474,       -6.81629785,      -6.889097706,      -6.710349393,      -6.138945699
          0,           0,          91,      -6.714792379,      -6.845602876,      -6.917374959,      -6.739881962,      -6.166985069
          0,           0,          92,      -6.742194435,      -6.874242301,      -6.945596084,      -6.769286779,      -6.194761978
          0,           0,          93,      -6.769037319,      -6.902071929,      -6.973728985,      -6.798524421,      -6.222323574
          0,           0,          94,      -6.795445036,      -6.928977658,      -7.001744015,      -6.827557078,      -6.249719841
          0,           0,          95,       -6.82157009,      -6.954894502,      -7.029618715,      -6.856357285,      -6.277004217
          0,           0,          96,      -6.847576558,      -6.979823388,      -7.057346507,      -6.884912231,      -6.304229189
